union_level,union_file,model_name_requested,train_script,dataset_name,dataset_variant,status,error_stage,error_message,fold,modelname,embtype,testauc,testacc,window_testauc,window_testacc,validauc,validacc,best_epoch
5,yousician_ukulele_union_level_5.json,dkt,wandb_dkt_train.py,yousician,baseline_qid,ok,,,0,dkt,qid,-1,-1,-1,-1,0.780523585472955,0.8250941456245151,19
5,yousician_ukulele_union_level_5.json,dkt,wandb_dkt_train.py,yousician_fmkc,fmkc,ok,,,0,dkt,qid_fmkc,-1,-1,-1,-1,0.7892540443396713,0.828787429587904,26
5,yousician_ukulele_union_level_5.json,akt,wandb_akt_train.py,yousician,baseline_qid,ok,,,0,akt,qid,-1,-1,-1,-1,0.7900644201139205,0.8241195728280273,32
5,yousician_ukulele_union_level_5.json,akt,wandb_akt_train.py,yousician_fmkc,fmkc,ok,,,0,akt,qid_fmkc,-1,-1,-1,-1,0.7891019844959609,0.8256082406595555,27
5,yousician_ukulele_union_level_5.json,dkt_plus,wandb_dkt_plus_train.py,yousician,baseline_qid,ok,,,0,dkt+,qid,-1,-1,-1,-1,0.7825210220574935,0.8264314235070743,23
5,yousician_ukulele_union_level_5.json,dkt_plus,wandb_dkt_plus_train.py,yousician_fmkc,fmkc,ok,,,0,dkt+,qid_fmkc,-1,-1,-1,-1,0.7800370609494268,0.8238199468873596,32
5,yousician_ukulele_union_level_5.json,sakt,wandb_sakt_train.py,yousician,baseline_qid,ok,,,0,sakt,qid,-1,-1,-1,-1,0.7301452744285533,0.8063501775677943,8
5,yousician_ukulele_union_level_5.json,sakt,wandb_sakt_train.py,yousician_fmkc,fmkc,ok,,,0,sakt,qid_fmkc,-1,-1,-1,-1,0.7668684141194968,0.8214954803792318,14
5,yousician_ukulele_union_level_5.json,simplekt,wandb_simplekt_train.py,yousician,baseline_qid,ok,,,0,simplekt,qid,-1,-1,-1,-1,0.7829295637552691,0.8233657770404527,33
5,yousician_ukulele_union_level_5.json,simplekt,wandb_simplekt_train.py,yousician_fmkc,fmkc,ok,,,0,simplekt,qid_fmkc,-1,-1,-1,-1,0.7870033885011943,0.8263399587462389,31
4,yousician_ukulele_union_level_4.json,dkt,wandb_dkt_train.py,yousician,baseline_qid,ok,,,0,dkt,qid,-1,-1,-1,-1,0.7987037205353797,0.8345225027442371,15
4,yousician_ukulele_union_level_4.json,dkt,wandb_dkt_train.py,yousician_fmkc,fmkc,ok,,,0,dkt,qid_fmkc,-1,-1,-1,-1,0.8061632537503747,0.8372089664336473,27
4,yousician_ukulele_union_level_4.json,akt,wandb_akt_train.py,yousician,baseline_qid,ok,,,0,akt,qid,-1,-1,-1,-1,0.8052195888510161,0.8365301288347102,32
4,yousician_ukulele_union_level_4.json,akt,wandb_akt_train.py,yousician_fmkc,fmkc,ok,,,0,akt,qid_fmkc,-1,-1,-1,-1,0.806762616819641,0.83679010919175,35
4,yousician_ukulele_union_level_4.json,dkt_plus,wandb_dkt_plus_train.py,yousician,baseline_qid,ok,,,0,dkt+,qid,-1,-1,-1,-1,0.8005436904229746,0.8352398559516244,18
4,yousician_ukulele_union_level_4.json,dkt_plus,wandb_dkt_plus_train.py,yousician_fmkc,fmkc,ok,,,0,dkt+,qid_fmkc,-1,-1,-1,-1,0.7940774871926881,0.8320238026460223,30
4,yousician_ukulele_union_level_4.json,sakt,wandb_sakt_train.py,yousician,baseline_qid,ok,,,0,sakt,qid,-1,-1,-1,-1,0.75358062760642,0.817537119417644,8
4,yousician_ukulele_union_level_4.json,sakt,wandb_sakt_train.py,yousician_fmkc,fmkc,ok,,,0,sakt,qid_fmkc,-1,-1,-1,-1,0.7812516119067539,0.8209457507654977,12
4,yousician_ukulele_union_level_4.json,simplekt,wandb_simplekt_train.py,yousician,baseline_qid,ok,,,0,simplekt,qid,-1,-1,-1,-1,0.7994589284020537,0.8342191923276908,31
4,yousician_ukulele_union_level_4.json,simplekt,wandb_simplekt_train.py,yousician_fmkc,fmkc,ok,,,0,simplekt,qid_fmkc,-1,-1,-1,-1,0.8037566357093296,0.8359668380611243,28
